"55000","400","1579","1","Tz0012"
"46000","400","1580","1","Tz0013"
"54000","300","1743","1","Tz0022"
"45000","300","1744","1","Tz0023"
"3900","3900","2004","1","Tz0070"
"4000","3600","2027","1","Tz0067"
"39800","39800","2057","1","Tz0086"
"54000","12900","2060","1","Tz0076"
"45000","12900","2061","1","Tz0077"
"42000","42000","2420","1","Tz0111"
"9600","9600","2481","1","Tz0114"
"9600","9600","2482","1","Tz0115"
"19200","19200","2483","1","Tz0116"
"1800","200","2675","1","Tz0119"
"41800","400","2895","1","Tz0141"
"39800","400","2896","1","Tz0142"
"3400","3400","3005","1","Tz0182"
"19800","19800","3006","1","Tz0183"
"99900","16800","3037","1","Tz0200"
"4800","4800","3040","1","Tz0203"
"99900","6400","3041","1","Tz0204"
"11800","11800","3042","1","Tz0205"
"9800","9800","3044","1","Tz0207"
"3280","3280","3051","1","Tz0149"
"15600","15600","3053","1","Tz0157"
"4200","3600","3054","1","Tz0163"
"99900","2100","3055","1","Tz0164"
"16300","16275","3056","1","Tz0169"
"2780","2780","3069","1","Tz0144"
"3280","3280","3070","1","Tz0150"
"3600","3280","3071","1","Tz0151"
"2780","2780","3075","1","Tz0145"
"2000","200","3079","1","Tz0140"
"15040","7160","3083","1","Tz0010TBOBQ"
"36400","36400","3137","1","Tz0191"
"39800","39800","3301","1","Tz0250"
"39800","39800","3302","1","Tz0254"
"39800","39800","3303","1","Tz0251"
"39800","39800","3304","1","Tz0252"
"39800","39800","3305","1","Tz0253"
"33700","33700","3414","1","Tz0113"
"38400","38400","3630","1","Tz0293"
"12600","12600","3922","1","Tz0302"
"14000","14000","4015","1","Tz0261"
"16200","16200","4019","1","Tz0262"
"9380","9380","4020","1","Tz0263"
"11700","11700","4021","1","Tz0264"
"3590","3590","4022","1","Tz0265"
"10800","10800","4023","1","Tz0266"
"4110","4110","4028","1","Tz0267"
"2910","2910","4029","1","Tz0308"
"16600","16600","4030","1","Tz0303"
"19800","19800","4035","1","Tz0301"
"12340","12340","4057","1","Tz0260"
"60800","60800","4060","1","Tz0271"
"60800","56000","4061","1","Tz0269"
"60800","60800","4062","1","Tz0272"
"60800","60800","4063","1","Tz0273"
"60800","60800","4064","1","Tz0270"
"3980","3980","4069","1","Tz0294"
"33700","33700","4070","1","Tz0295"
"145300","145300","4072","1","Tz0298"
"103400","103400","4073","1","Tz0299"
"19200","19200","4239","1","Tz0280"
"7920","7920","4240","1","Tz0268"
"5400","5400","4246","1","Tz0258"
"6400","6400","5619","1","Tz0153"
"36800","36800","5620","1","Tz0255"
"3720","3360","5624","1","Tz0313"
"1940","1940","5625","1","Tz0310"
"16800","16800","5751","1","Tz0323"
"25800","25800","5752","1","Tz0324"
"10350","10350","5957","1","Tz0337"
"11600","11600","5958","1","Tz0331"
"2500","2500","6006","1","Tz0332"
"3280","3280","6009","1","Tz0333"
"3280","3280","6012","1","Tz0334"
"2760","2760","6013","1","Tz0335"
"1980","1980","6014","1","Tz0336"
"3980","3980","6015","1","Tz0328"
"5070","5070","6055","1","Tz0340"
"2880","2880","6057","1","Tz0346"
"2860","1700","6059","1","Tz0347"
"3840","3840","6060","1","Tz0348"
"91600","91600","6072","1","Tz0350"
"3270","3270","6305","1","Tz0349"
"2180","2180","6420","1","Tz0341"
"3580","3580","6421","1","Tz0342"
"2970","2970","6422","1","Tz0343"
"3180","3180","6423","1","Tz0344"
"62600","62600","8508","1","Tz0353"
"78800","78800","8509","1","Tz0354"
"127200","127200","8510","1","Tz0355"
"3750","3750","8541","1","Tz0360"
"1400","1400","8543","1","Tz0357"
"2650","2650","8562","1","Tz0356"
"4200","4200","8624","1","Tz0352"
"6200","6200","8659","1","Tz0370"
"12980","12980","8660","1","Tz0371"
"4840","4840","8661","1","Tz0372"
"7960","7960","8662","1","Tz0373"
"3900","3900","8663","1","Tz0374"
"12800","12800","8666","1","Tz0375"
"2910","2000","8804","1","Tz0377"
"2910","2000","8814","1","Tz0383"
"2910","2000","8815","1","Tz0382"
"2910","2000","8816","1","Tz0378"
"2910","2000","8817","1","Tz0381"
"2910","2000","8818","1","Tz0380"
"2910","2000","8819","1","Tz0379"
"369600","369600","8823","1","Tz0387"
"3100","3100","8830","1","Tz0376"
"4180","4180","13360","1","Tz0395"
"3140","3140","13361","1","Tz0397"
"4620","4620","13363","1","Tz0390"
"3880","3880","13366","1","Tz0388"
"3500","3500","13368","1","Tz0389"
"68500","68500","14487","1","Tz0399"
"39800","39800","14489","1","Tz0386"
"895500","895500","14491","1","Tz0385"
"7320","7320","15671","1","Tz0402"
"122100","122100","15677","1","Tz0398"
"39800","39800","15747","1","Tz0437"
"46800","46800","16161","1","Tz0408"
"7800","7800","16210","1","Tz0415"
"5800","5800","16211","1","Tz0416"
"8400","8400","16221","1","Tz0411"
"5380","5380","16222","1","Tz0451"
"4170","4170","16223","1","Tz0452"
"4170","4170","16224","1","Tz0453"
"3800","3800","16396","1","Tz0446"
"3180","3180","16719","1","Tz0471"
"3180","3180","16720","1","Tz0472"
"3180","3180","16721","1","Tz0473"
"5780","5780","16722","1","Tz0474"
"875600","875600","16902","1","Tz0455"
"1432800","1432800","16903","1","Tz0475"
"1791000","1791000","16904","1","Tz0456"
"39800","39800","16905","1","Tz0457"
"111800","111800","16908","1","Tz0460"
"111800","111800","16909","1","Tz0461"
"2850","2850","17276","1","Tz0477"
"3840","3840","17277","1","Tz0478"
"2880","2880","17278","1","Tz0479"
"3150","3150","17279","1","Tz0480"
"3150","3150","17280","1","Tz0481"
"2850","2850","17281","1","Tz0482"
"3560","3560","17282","1","Tz0483"
"2900","2900","17283","1","Tz0484"
"3270","3270","17284","1","Tz0485"
"2390","2390","17285","1","Tz0486"
"65100","65100","17287","1","Tz0462"
"15800","15800","17349","1","Tz0490"
"27800","27800","17350","1","Tz0491"
"15800","15800","17483","1","Tz0496"
"3960","3960","17509","1","Tz0454 "
"19600","19600","17513","1","Tz0493"
"37600","37600","17514","1","Tz0494"
"159200","159200","17601","1","Tz0488"
"13800","13800","17605","1","Tz0512"
"12000","12000","17606","1","Tz0513"
"23800","23800","17607","1","Tz0514"
"23800","23800","17608","1","Tz0515"
"23800","23800","17609","1","Tz0516"
"23800","23800","17610","1","Tz0516"
"2280","2280","17611","1","Tz0517"
"2280","2280","17612","1","Tz0518"
"2280","2280","17613","1","Tz0519"
"5620","5620","17614","1","Tz0511"
"5780","5780","17615","1","Tz0510"
"3980","3510","17616","1","Tz0509"
